tree_spans,tree_heights,tree_lengths
726.6679314725725,10627.391368023727,55372.44949289368
749.4501305626356,36529.13393701866,111062.62230809423
336.13960266489084,36529.13393701866,116695.6571944792
357.0111469265564,36529.13393701866,113450.61155724821
273.3010799329031,137808.78187764582,316009.9074385024
491.2164529066572,137808.78187764582,320561.1438728765
43.54426638305722,93719.4781446192,232382.5364068234
959.4777601211049,93719.4781446192,233360.79955237935
1236.3195887851343,45557.61176140632,137037.06678595353
22.25516364496525,93719.4781446192,233360.79955237935
1412.3028613189945,93719.4781446192,229766.0808153935
155.4638613377374,147530.28523326374,337387.69499268255
1023.8133373260071,49526.85214949281,141380.82882514078
12.305704879645418,49526.85214949281,155251.7597735625
604.284042633205,49526.85214949281,159476.4627596306
141.3919963271801,49526.85214949281,159280.30351684283
885.4097223108183,49526.85214949281,166256.25931863833
1257.3286893911045,48398.760467553875,164000.07595476045
680.4908627365912,158567.94820844056,384338.4514365337
849.3579926084167,73195.29484495395,213593.14470956064
222.7890305739802,139141.6645664533,345485.8841525592
116.54342527420704,113042.09503868668,293286.745097026
33.59303810484562,113042.09503868668,293307.44048750954
18.70347187358493,52381.86280628325,171986.97602270264
562.8929474770321,113042.09503868668,293307.44048750954
544.0213253125603,73864.08917617903,214951.42876249418
405.40257478258536,73864.08917617903,214595.5230380608
197.08564509569806,73864.08917617903,217305.64158586517
130.94185854562966,113042.09503868668,295661.65331088053
17.52884127608013,113042.09503868668,291245.2269962774
861.9384842137642,113042.09503868668,279810.70508246426
363.7907561761767,74145.71988860164,202017.95478229417
268.1440208731565,74145.71988860164,204413.03305424043
1096.2543080319301,74145.71988860164,207282.78829257365
274.1948702079717,113042.09503868668,285075.5385927437
718.0114278378933,113042.09503868668,285080.74935850926
467.700045664722,113042.09503868668,283899.59366320545
461.2409976453637,133636.26173128994,325087.927048412
56.745437918401876,20903.603579459646,93022.96226023449
6.077159197557194,20903.603579459646,99426.45150196362
617.5451913423676,20903.603579459646,105169.41155639851
1571.471197896517,20903.603579459646,110666.9371770938
624.8170977050431,20903.603579459646,106316.66288652063
142.81524348604216,20903.603579459646,110507.14252833695
226.11157042582272,20903.603579459646,110897.97529471786
2001.556894276655,20903.603579459646,108367.63069052139
88.70400490441898,20903.603579459646,108923.66185036738
970.9810840364007,20903.603579459646,102412.65564290309
618.4422412464519,20903.603579459646,97817.83037460233
2877.790108993133,17352.367134758093,90715.3574851992
194.96046011219005,20903.603579459646,97817.83037460233
856.9008207081097,20903.603579459646,96459.91430130802
263.543054522841,63745.97807486808,186935.64780321342
1827.149233274893,63745.97807486808,190119.0134762075
3001.400735928073,57933.73258063004,178494.52248773148
82.24621417053277,57933.73258063004,195125.37000402767
2417.6241835620312,57933.73258063004,190385.92308509088
79.6583015657161,56491.667293065555,187501.79250996193
301.2419213310932,56491.667293065555,181247.9045317238
1100.329356524242,56491.667293065555,168225.23290169466
562.1785764960005,20903.603579459646,96253.98720679407
1504.2037706599149,20903.603579459646,96409.22824338467
1062.0766321807314,20903.603579459646,97008.1872682856
575.5695981382378,20903.603579459646,104513.75619462378
1957.4354407278443,20903.603579459646,100802.72492834684
683.8876755637757,20903.603579459646,99316.91814582382
599.3667060042135,20903.603579459646,107755.96137858977
1002.9118044774295,20903.603579459646,106849.45700350175
163.9176160478819,20903.603579459646,108025.22614308262
2655.60718315086,20903.603579459646,106900.38593731374
310.19961468646216,62274.623699659656,189838.58542050156
809.8776919790325,51268.6505933466,167826.6392078755
21.790945907538116,50189.91611246822,165669.17024611874
1190.1026594429495,50189.91611246822,166794.0104518876
583.0744748430006,51268.6505933466,168951.47941364438
934.6558714599014,35152.16264631373,136718.50351957863
275.0760410621515,51268.6505933466,168951.47941364438
521.5507001899095,34439.970691988325,135294.11961092782
1375.2918227983828,34439.970691988325,133675.30097022062
564.8430438164796,34439.970691988325,129088.92087124503
365.95491700943967,44426.688451698465,149062.3563906653
1378.5869352003938,44426.688451698465,135354.1418483837
4788.642936569791,35152.16264631373,116805.09023761428
1266.133506145823,35152.16264631373,110758.35816245936
